library,version_guess,detection_source,usage_paths
jquery,1.7,header_comment,WebGestor/plugins/datatables/extensions/FixedColumns/js/dataTables.fixedColumns.js|WebGestor/plugins/datatables/extensions/Responsive/js/dataTables.responsive.js|WebGestor/plugins/datatables/extensions/Scroller/js/dataTables.scroller.js|WebGestor/plugins/datatables/jquery.dataTables.js|WebGestor/plugins/knob/jquery.knob.js
jquery,1.9.1,header_comment,WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.min.js|WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.min.js
jquery,2.1.4,header_comment,WebGestor/plugins/jQuery/jQuery-2.1.4.min.js
jquery,2.1.4.,filename,WebGestor/plugins/jQuery/jQuery-2.1.4.min.js
jquery,3.3.1,header_comment,WebGestor/Scripts/jquery-3.3.1.js|WebGestor/Scripts/jquery-3.3.1.min.js|WebGestor/Scripts/jquery-3.3.1.slim.js|WebGestor/Scripts/jquery-3.3.1.slim.min.js
jquery,3.3.1.,filename,WebGestor/Scripts/jquery-3.3.1.intellisense.js|WebGestor/Scripts/jquery-3.3.1.js|WebGestor/Scripts/jquery-3.3.1.min.js|WebGestor/Scripts/jquery-3.3.1.slim.js|WebGestor/Scripts/jquery-3.3.1.slim.min.js
jquery,3.5.1,header_comment,WebGestor/bootstrap/js/jquery-3.5.1.slim.min.js
jquery,3.5.1.,filename,WebGestor/bootstrap/js/jquery-3.5.1.slim.min.js
moment,,filename,WebGestor/plugins/daterangepicker/moment.js|WebGestor/plugins/daterangepicker/moment.min.js
popper,,filename,WebGestor/bootstrap/js/popper.min.js
