path_rel,loc,n_grid_like,n_form_controls,n_file_uploads,n_reports,n_devexpress,n_sql_calls_hint
WebGestor/App_Code/clsMenuWeb_Funciones.vb,25,0,2,0,0,0,0
WebGestor/App_Code/clsMesaAyuda.vb,1031,0,2,0,0,0,72
WebGestor/App_Code/clsPersonal.vb,130,0,0,0,0,0,9
WebGestor/App_Code/clsSIntegral.vb,107,0,0,0,0,0,6
WebGestor/App_Start/BundleConfig.vb,32,1,0,0,0,0,0
WebGestor/App_Start/RouteConfig.vb,12,0,0,0,0,0,0
WebGestor/CAS/CasReporte_IncOficinaxComponente.aspx,66,0,0,0,5,0,0
WebGestor/CAS/CasReporte_IncOficinaxComponente.aspx.vb,9,0,0,0,0,0,0
WebGestor/CAS/CasReporte_IncidenteTotales.aspx,82,0,0,0,5,0,0
WebGestor/CAS/CasReporte_IncidenteTotales.aspx.vb,9,0,0,0,0,0,0
WebGestor/CAS/CasReporte_IncidentexComponente.aspx,81,0,0,0,6,0,0
WebGestor/CAS/CasReporte_IncidentexComponente.aspx.vb,13,0,0,0,1,0,0
WebGestor/CAS/CasReporte_IncidentexElemento.aspx,77,0,0,0,5,0,0
WebGestor/CAS/CasReporte_IncidentexElemento.aspx.vb,9,0,0,0,0,0,0
WebGestor/CAS/CasReporte_ResumenBD.aspx,81,0,0,0,5,0,0
WebGestor/CAS/CasReporte_ResumenBD.aspx.vb,9,0,0,0,0,0,0
WebGestor/CAS/Cas_BusquedaBaseDatos.aspx,309,2,10,0,0,0,0
WebGestor/CAS/Cas_BusquedaBaseDatos.aspx.vb,204,2,0,0,0,0,7
WebGestor/CAS/Cas_DefineTablas1.aspx,739,10,45,2,0,0,0
WebGestor/CAS/Cas_DefineTablas1.aspx.vb,708,9,5,7,0,0,2
WebGestor/CAS/Cas_DefineTablas2.aspx,188,8,24,0,0,0,0
WebGestor/CAS/Cas_DefineTablas2.aspx.vb,427,8,0,0,0,0,0
WebGestor/CAS/Cas_Define_Grupo.aspx,410,12,18,0,0,0,0
WebGestor/CAS/Cas_Define_Grupo.aspx.vb,588,10,5,0,0,0,0
WebGestor/CAS/Cas_Define_TemasAyuda.aspx,308,2,6,1,0,0,0
WebGestor/CAS/Cas_Define_TemasAyuda.aspx.vb,97,3,0,0,0,0,1
WebGestor/CAS/Cas_Define_personas.aspx,211,2,24,0,0,0,0
WebGestor/CAS/Cas_Define_personas.aspx.vb,275,2,0,0,0,0,4
WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx,439,6,20,2,0,0,0
WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx.vb,463,4,0,7,0,0,2
WebGestor/CAS/Cas_ImportarPersona.aspx,84,0,0,1,0,0,0
WebGestor/CAS/Cas_ImportarPersona.aspx.vb,359,0,0,0,0,0,0
