path,symbol,tb_layer,reason
WebGestor/EvaluacionProcesos/EvalProcesos_Dashboard.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Define_Oficinas.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Define_Oficinas.aspx.vb,DataSet,TB06,usa 'DataSet'
WebGestor/EvaluacionProcesos/EvalProcesos_Define_Oficinas.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_Define_Oficinas.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Distancia_Entre2Direcciones.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Distancia_Entre2Direcciones.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_Distancia_Entre2Direcciones.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Generar.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Generar.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_Generar.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Grafica.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Grafica.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_Grafica.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_LisaRptaJalados.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_LisaRptaJalados.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_LisaRptaJalados.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_PagMaster.master,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_PagMaster.master.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_PagMaster.master.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Prevencion_Ingreso.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Prevencion_Ingreso.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_Prevencion_Ingreso.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Reclamo.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Reclamo.aspx.bak,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Reclamo.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_Reclamo.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_ReclamoLista.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_ReclamoLista.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_ReclamoLista.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Relacionar.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/EvalProcesos_Relacionar.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/EvalProcesos_Relacionar.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/GoogleMapsWeb.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/GoogleMapsWeb.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/GoogleMapsWeb.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/GoogleMaps_Prueba.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/GoogleMaps_Prueba.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/GoogleMaps_Prueba.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/PagPrincipal_EvalProceso.master,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/PagPrincipal_EvalProceso.master.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/PagPrincipal_EvalProceso.master.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/VB.aspx,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/EvaluacionProcesos/VB.aspx.vb,DataSet,TB06,usa 'DataSet'
WebGestor/EvaluacionProcesos/VB.aspx.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/EvaluacionProcesos/VB.aspx.vb,name-match,TB05,match por 'evaluacion' en nombre
WebGestor/Fotos/1.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/16 (Back).ico,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/25-1.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/5.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/6.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/7.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/BtnSeleccionar.png,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/COMPLEMENTO5.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/Calendario.bmp,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/CasColombia.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/ImgContabilidad.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/LOGO WEB HACDATA.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/LOGO WEB HACDATA.jpg,name-match,TB06,match por 'data' en nombre
WebGestor/Fotos/LOGO WEBCASH-04.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/LOGO WEBCASH-06.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/LOGO-HACDATA.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/LOGO-HACDATA.jpg,name-match,TB06,match por 'data' en nombre
WebGestor/Fotos/Linea_Gris.bmp,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/LogoBoton.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/LogoOpplus.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/LogoOpplus1.JPG,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/Thumbs.db,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/animated.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/boton isotipo web-03.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/botonbuscar.jpg,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/buttonhover.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/buttonhover2.gif,name-match,TB04,match por 'foto' en nombre
WebGestor/Fotos/buttonhover3.GIF,name-match,TB04,match por 'foto' en nombre
