library,version,path_rel,minified,sha1
ca.js,,WebGestor/plugins/ckeditor/lang/ca.js,no,81961eccf513909c55a983bca74ccaa4ced50395
cs.js,,WebGestor/plugins/ckeditor/lang/cs.js,no,8a570446e6d8a5edcdb518684b70b865ae950ef7
cy.js,,WebGestor/plugins/ckeditor/lang/cy.js,no,5ac0636c4a8269e4ea0402d79110645256d7a247
da.js,,WebGestor/plugins/ckeditor/lang/da.js,no,61a88ddb684dd1b6815f439a6bab5489fe706100
de.js,,WebGestor/plugins/ckeditor/lang/de.js,no,acd14d230ed4f55116cd9e12cd8a274349e2d62a
el.js,,WebGestor/plugins/ckeditor/lang/el.js,no,481863eec430cbe2b14a652db3559987ae4fb0eb
en-au.js,,WebGestor/plugins/ckeditor/lang/en-au.js,no,68d1a7f093492ffdfe00d820a10ef767ef78acd2
en-ca.js,,WebGestor/plugins/ckeditor/lang/en-ca.js,no,a6cbf96f9f0c44b96ea521649e34612b1d703746
en-gb.js,,WebGestor/plugins/ckeditor/lang/en-gb.js,no,cc71cba59e9aa239821d94b4e586766c36cbc4ef
en.js,,WebGestor/plugins/ckeditor/lang/en.js,no,00d57340a1cf1fb28b1355ebda61d4ede258da81
eo.js,,WebGestor/plugins/ckeditor/lang/eo.js,no,c8b29cd6fc47ae02a4cd2f7595d20f3b08d154d2
es.js,,WebGestor/plugins/ckeditor/lang/es.js,no,40a09f767209ef67f2b063ece4fc34ca660e01c2
et.js,,WebGestor/plugins/ckeditor/lang/et.js,no,64e82fc99ee6ca1717eaecaa169ed9e0f835311c
eu.js,,WebGestor/plugins/ckeditor/lang/eu.js,no,2e78ba2a1b52944f3ca21e264547aee1c519572e
fa.js,,WebGestor/plugins/ckeditor/lang/fa.js,no,f7554733b456d31af30aad3eca60e3b1645dd32c
fi.js,,WebGestor/plugins/ckeditor/lang/fi.js,no,ba51efba83e287af69f532fa6c67c0ef7222e166
fo.js,,WebGestor/plugins/ckeditor/lang/fo.js,no,c2d7453cd1b1c632a1c881e04706e295a4a17957
