path_rel,asset_type,size_bytes,sha1
WebGestor/dist/img/avatar04.png,image,44586,f19600277985493d6635d09cc1cac8ed7aacdf02
WebGestor/dist/img/avatar2.png,image,28512,50ecbe0a95b03b7f9e7dd51f0893f80ce4c4212d
WebGestor/dist/img/avatar3.png,image,32476,0f1dd5a428446094256b2f3cb16278bd58786f0c
WebGestor/dist/img/avatar5.png,image,24988,7aa146b7d1927bd539dd3dbb9c5c5b7c80307ea8
WebGestor/dist/img/boxed-bg.jpg,image,123770,3035a22cec8e49613fc2b5b58880067960688e79
WebGestor/dist/img/boxed-bg.png,image,43694,84bc265bc6c53141f9656878b371ca93543090c0
WebGestor/dist/img/credit/american-express.png,image,2796,bf9519ff191a1eaab2c704032971c142443976c8
WebGestor/dist/img/credit/cirrus.png,image,1872,00887d9cbc5c6fadfc57be1a064265e36707edb5
WebGestor/dist/img/credit/mastercard.png,image,1988,3062a5862cc1aac8a98973d266a7a9bdf0eb2836
WebGestor/dist/img/credit/mestro.png,image,1981,9935fbdc23b416a6fc5a0896bfce2d84757238c6
WebGestor/dist/img/credit/paypal.png,image,2664,13cba4a8a5d76ac6a245bbfe8ff2917a25dcfeca
WebGestor/dist/img/credit/paypal2.png,image,1416,5661fe833a0bea0a63a8504bf933e78ef65dd0d0
WebGestor/dist/img/credit/visa.png,image,1199,59282f364ff16c8464c4ff90edb27936ebca28d1
WebGestor/dist/img/default-50x50.gif,image,184,c3779e4aeb123953c7decb12949abdd17b1d3f27
WebGestor/dist/img/icons.png,image,1896,ea0a778be1fbac18e44778031dee0ea0a359f422
WebGestor/dist/img/photo1.png,image,1639025,13fe94cd21ddbb98bd1cf91486e00d0852c3e48a
WebGestor/dist/img/photo2.png,image,1427229,e4a3e86671bf2001f036998a938a7aae97a379f3
WebGestor/dist/img/sprite-skin-flat.png,image,352,53cbe56c075cba056dd3ee009d1eaa92161d6830
WebGestor/dist/img/sprite-skin-nice.png,image,1022,274a093212f92bfaf099c1b7c3f2effa26bf6770
WebGestor/dist/img/user1-128x128.jpg,image,3377,5f2d014ff084c102867bd592b50d0c11e974892d
WebGestor/dist/img/user2-160x160.jpg,image,8042,e4aeba0e08ac30570f5097de39728ff1704e2c35
WebGestor/dist/img/user3-128x128.jpg,image,4025,d05603af31613a61549444774e78e640654ef486
WebGestor/dist/img/user4-128x128.jpg,image,3482,7a70da454d4f95b05466951eb451eaadc5c65351
WebGestor/dist/img/user5-128x128.jpg,image,6492,52430a11dd26a23a0ce513777909d4fcfb9c395a
WebGestor/dist/img/user6-128x128.jpg,image,4863,f40722976d9c40aa5f58867c2c1840972e12d36f
WebGestor/dist/img/user7-128x128.jpg,image,7066,c1ca70741632880e223ae32c41e4b0f0e25de719
WebGestor/dist/img/user8-128x128.jpg,image,5728,09edbc1c2ea2f60897be8368f54cc9d55bbefd21
WebGestor/Documentacion/Temas/Bienes_xMover (1).xlsx,document,9097,b2cbe16518a118db3bd2a4376075180405005fd8
WebGestor/Documentacion/Temas/cargageneralbienes_ejemplo.xlsx,document,17326,09347bc69f522903bc26a5b3892be183e9920b2c
WebGestor/Documentacion/Temas/CRM MODULOS.docx,document,1536925,7e636d88fa1c76342ea016058073d120902813ff
WebGestor/Documentacion/Temas/GridViewExport (1).xls,document,80495,6f58234ce704af27a122b614b5f5b0314a96c06d
WebGestor/Documentacion/Temas/GuiaInterna_Nro_001459.pdf,document,1970,db1eb2a50acf9e0a5b6d1ae529edc83619646db1
WebGestor/favicon.ico,image,32038,1c0c85678ae963bc96d0b7fbe1eb89074cf1fbe0
WebGestor/fonts/glyphicons-halflings-regular.eot,font,20127,86b6f62b7853e67d3e635f6512a5a5efc58ea3c3
WebGestor/fonts/glyphicons-halflings-regular.svg,image,108738,de51a8494180a6db074af2dee2383f0a363c5b08
WebGestor/fonts/glyphicons-halflings-regular.ttf,font,45404,44bc1850f570972267b169ae18f1cb06b611ffa2
WebGestor/fonts/glyphicons-halflings-regular.woff,font,23424,278e49a86e634da6f2a02f3b47dd9d2a8f26210f
WebGestor/fonts/glyphicons-halflings-regular.woff2,font,18028,ca35b697d99cae4d1b60f2d60fcd37771987eb07
WebGestor/Fotos/1.gif,image,2001,28224c989f9575f8c8348846e7534a252afb2e39
WebGestor/Fotos/16 (Back).ico,image,1406,a9fd4d307c83c10e4e278090dd7fef43430f1332
WebGestor/Fotos/25-1.gif,image,2608,c2f4f0cc14f9796305c7dc3bc06e3a0ba25a3c2c
WebGestor/Fotos/5.gif,image,3087,3d6711f56ad0f1fad68bcf263e8d1024f0dfe690
WebGestor/Fotos/6.gif,image,3981,a648bf64a8862530b7fc56501a4de6a67b1a6446
WebGestor/Fotos/7.gif,image,10132,1e3534c99a6287deacb76d29858979b74a9f071a
WebGestor/Fotos/animated.gif,image,1625,824655d182d672cc1da68228d9b9eaa47c2fe94a
WebGestor/Fotos/boton isotipo web-03.jpg,image,21156,010fff600c84222a561c70f0679234ce8fece3fa
WebGestor/Fotos/botonbuscar.jpg,image,752,30bb45c762058f902af4e79047f6890e30c1b412
WebGestor/Fotos/BtnSeleccionar.png,image,643,546d757b72ec7879c565d643e65b7d3eeaab251d
WebGestor/Fotos/buttonhover.gif,image,400,cd8bfad35f07ec1b07a7f4980aaf936f20618535
WebGestor/Fotos/buttonhover2.gif,image,1177,737fbd9fadce100ede1d8762bb8c715dd86873d9
