path_rel,language,loc,avg_line_length,num_functions,decision_points,comment_lines,comment_ratio,complexity_score
WebGestor/App_Code/ImagenesGuia.vb,vb,151,26.17,10,13,0,0.0,23
WebGestor/App_Code/Insertar.vb,vb,128,63.06,10,1,1,0.008,11
WebGestor/App_Code/Licencia.vb,vb,11,31.45,2,1,0,0.0,3
WebGestor/App_Code/Listados.vb,vb,105,49.74,18,4,0,0.0,22
WebGestor/App_Code/Module_Constantes.vb,vb,20,78.15,0,0,4,0.2,1
WebGestor/App_Code/ModuloCas.vb,vb,1010,56.78,144,9,7,0.007,153
WebGestor/App_Code/ModuloGeneral.vb,vb,467,58.22,68,6,4,0.009,74
WebGestor/App_Code/ModuloSeguridad.vb,vb,860,53.1,138,9,12,0.014,147
WebGestor/App_Code/PersonaBE.vb,vb,7,28.71,0,0,0,0.0,1
WebGestor/App_Start/BundleConfig.vb,vb,31,54.58,2,16,4,0.129,18
WebGestor/App_Start/RouteConfig.vb,vb,11,31.73,2,0,0,0.0,2
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/css/bootstrap-grid.css,css,3872,16.43,0,0,0,0.0,1
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/css/bootstrap-grid.min.css,css,7,7232.86,0,0,0,0.0,1
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/css/bootstrap-reboot.css,css,325,13.66,0,0,0,0.0,1
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/css/bootstrap-reboot.min.css,css,8,487.0,0,0,0,0.0,1
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/css/bootstrap.css,css,10259,18.31,0,0,0,0.0,1
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/css/bootstrap.min.css,css,7,22899.29,0,0,0,0.0,1
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.js,javascript,7023,31.53,458,921,229,0.033,1379
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.min.js,javascript,7,11560.14,61,268,1,0.143,329
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.js,javascript,4410,29.74,326,424,63,0.014,750
WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.min.js,javascript,7,8576.86,16,162,1,0.143,178
WebGestor/bootstrap/css/bootstrap.css,css,6584,20.51,0,0,0,0.0,1
WebGestor/bootstrap/css/bootstrap.min.css,css,4471,19.01,0,0,0,0.0,1
WebGestor/bootstrap/estilos.css,css,42,162.38,0,0,0,0.0,1
WebGestor/bootstrap/js/bootstrap.js,javascript,2317,28.15,190,210,101,0.044,400
WebGestor/bootstrap/js/bootstrap.min.js,javascript,7,5135.0,19,60,0,0.0,79
WebGestor/bootstrap/js/jquery-3.5.1.slim.min.js,javascript,2,36189.0,63,420,0,0.0,483
WebGestor/bootstrap/js/npm.js,javascript,13,36.31,0,0,1,0.077,1
WebGestor/bootstrap/js/popper.min.js,javascript,5,4245.6,53,106,1,0.2,159
WebGestor/build/bootstrap-less/mixins.less,less,39,27.26,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/alerts.less,less,14,17.36,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/background-variant.less,less,8,16.38,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/border-radius.less,less,18,25.0,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/buttons.less,less,52,19.77,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/center-block.less,less,7,16.14,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/clearfix.less,less,22,26.5,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/forms.less,less,85,30.07,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/gradients.less,less,59,73.37,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/grid-framework.less,less,91,29.59,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/grid.less,less,122,24.36,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/hide-text.less,less,21,26.57,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/image.less,less,33,31.18,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/labels.less,less,12,12.42,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/list-group.less,less,29,17.38,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/nav-divider.less,less,10,22.2,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/nav-vertical-align.less,less,9,39.44,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/opacity.less,less,8,17.5,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/pagination.less,less,23,18.04,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/panels.less,less,24,21.38,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/progress-bar.less,less,10,18.1,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/reset-filter.less,less,8,30.0,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/resize.less,less,6,31.67,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/responsive-visibility.less,less,15,21.87,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/size.less,less,10,11.7,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/tab-focus.less,less,9,16.67,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/table-row.less,less,28,24.0,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/text-emphasis.less,less,8,13.5,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/text-overflow.less,less,8,19.25,0,0,0,0.0,1
WebGestor/build/bootstrap-less/mixins/vendor-prefixes.less,less,227,28.3,0,0,0,0.0,1
WebGestor/build/bootstrap-less/variables.less,less,861,30.42,0,0,0,0.0,1
WebGestor/build/less/404_500_errors.less,less,36,18.47,0,0,0,0.0,1
WebGestor/build/less/AdminLTE.less,less,65,23.05,0,0,0,0.0,1
WebGestor/build/less/alerts.less,less,44,13.66,0,0,0,0.0,1
WebGestor/build/less/bootstrap-social.less,less,107,25.43,0,0,0,0.0,1
WebGestor/build/less/boxes.less,less,442,16.12,0,0,0,0.0,1
WebGestor/build/less/buttons.less,less,157,18.88,0,0,0,0.0,1
WebGestor/build/less/callout.less,less,48,16.62,0,0,0,0.0,1
WebGestor/build/less/carousel.less,less,15,15.67,0,0,0,0.0,1
WebGestor/build/less/control-sidebar.less,less,274,19.25,0,0,0,0.0,1
WebGestor/build/less/core.less,less,158,16.26,0,0,0,0.0,1
WebGestor/build/less/direct-chat.less,less,172,16.64,0,0,0,0.0,1
WebGestor/build/less/dropdown.less,less,347,18.9,0,0,0,0.0,1
WebGestor/build/less/forms.less,less,82,14.82,0,0,0,0.0,1
WebGestor/build/less/fullcalendar.less,less,88,16.24,0,0,0,0.0,1
WebGestor/build/less/header.less,less,249,18.77,0,0,0,0.0,1
WebGestor/build/less/info-box.less,less,66,15.48,0,0,0,0.0,1
WebGestor/build/less/invoice.less,less,16,11.56,0,0,0,0.0,1
WebGestor/build/less/labels.less,less,23,12.74,0,0,0,0.0,1
WebGestor/build/less/lockscreen.less,less,68,16.01,0,0,0,0.0,1
WebGestor/build/less/login_and_register.less,less,51,13.16,0,0,0,0.0,1
WebGestor/build/less/mailbox.less,less,77,14.71,0,0,0,0.0,1
WebGestor/build/less/miscellaneous.less,less,354,16.3,0,0,0,0.0,1
WebGestor/build/less/mixins.less,less,301,22.78,0,0,0,0.0,1
WebGestor/build/less/modal.less,less,73,17.05,0,0,0,0.0,1
WebGestor/build/less/navs.less,less,174,16.4,0,0,0,0.0,1
WebGestor/build/less/print.less,less,48,19.06,0,0,0,0.0,1
WebGestor/build/less/products.less,less,44,16.82,0,0,0,0.0,1
WebGestor/build/less/progress-bars.less,less,107,14.73,0,0,0,0.0,1
WebGestor/build/less/sidebar-mini.less,less,137,23.02,0,0,0,0.0,1
WebGestor/build/less/sidebar.less,less,154,16.8,0,0,0,0.0,1
WebGestor/build/less/skins/_all-skins.less,less,13,28.38,0,0,0,0.0,1
WebGestor/build/less/skins/skin-black-light.less,less,64,19.78,0,0,0,0.0,1
WebGestor/build/less/skins/skin-black.less,less,64,19.61,0,0,0,0.0,1
WebGestor/build/less/skins/skin-blue-light.less,less,61,18.62,0,0,0,0.0,1
WebGestor/build/less/skins/skin-blue.less,less,58,18.97,0,0,0,0.0,1
WebGestor/build/less/skins/skin-green-light.less,less,56,17.5,0,0,0,0.0,1
WebGestor/build/less/skins/skin-green.less,less,56,17.8,0,0,0,0.0,1
WebGestor/build/less/skins/skin-purple-light.less,less,55,17.98,0,0,0,0.0,1
WebGestor/build/less/skins/skin-purple.less,less,55,18.25,0,0,0,0.0,1
WebGestor/build/less/skins/skin-red-light.less,less,55,17.67,0,0,0,0.0,1
WebGestor/build/less/skins/skin-red.less,less,55,17.76,0,0,0,0.0,1
WebGestor/build/less/skins/skin-yellow-light.less,less,55,18.16,0,0,0,0.0,1
WebGestor/build/less/skins/skin-yellow.less,less,55,18.25,0,0,0,0.0,1
WebGestor/build/less/small-box.less,less,89,15.2,0,0,0,0.0,1
WebGestor/build/less/table.less,less,71,11.69,0,0,0,0.0,1
WebGestor/build/less/timeline.less,less,98,16.97,0,0,0,0.0,1
WebGestor/build/less/users-list.less,less,39,14.56,0,0,0,0.0,1
