path_rel,endpoint_type,has_codebehind,codebehind_path,loc,size_bytes,sha1
WebGestor/CAS/CasReporte_IncidentexComponente.aspx,page,yes,WebGestor/CAS/CasReporte_IncidentexComponente.aspx.vb,80,4446,7ffda768433d8f3e8098c63e8806a8b3da15ef77
WebGestor/CAS/CasReporte_IncidentexElemento.aspx,page,yes,WebGestor/CAS/CasReporte_IncidentexElemento.aspx.vb,76,4182,6c1be75b4a13676101e0c100a7be194d43a84fa9
WebGestor/CAS/CasReporte_IncOficinaxComponente.aspx,page,yes,WebGestor/CAS/CasReporte_IncOficinaxComponente.aspx.vb,65,3748,22ea5d96544021cac619070359748a37a1a11ce4
WebGestor/CAS/CasReporte_ResumenBD.aspx,page,yes,WebGestor/CAS/CasReporte_ResumenBD.aspx.vb,80,4409,0fd46ea869e2e274a63344d8cd78c043e81fcac1
WebGestor/Contabilidad/Contabilidad_PCGR.aspx,page,yes,WebGestor/Contabilidad/Contabilidad_PCGR.aspx.vb,387,36338,dd65e687e0dfc4c46fe87db53c818a23c7b461fb
WebGestor/Contabilidad/Contabilidad_Personas.aspx,page,yes,WebGestor/Contabilidad/Contabilidad_Personas.aspx.vb,272,19613,33accc41e0a51c5195c26532bc3ab4bafceabf0e
WebGestor/Contabilidad/Contabilidad_Personas_Detalle.aspx,page,yes,WebGestor/Contabilidad/Contabilidad_Personas_Detalle.aspx.vb,73,3926,d1d52a06f898948dc4a0f52046ee5566709eb326
WebGestor/Contabilidad/Contabilidad_Registrar_Clientes.aspx,page,yes,WebGestor/Contabilidad/Contabilidad_Registrar_Clientes.aspx.vb,50,2913,eb849c19ca33954a5f6ab984f1d1cf55f9c3a57f
WebGestor/Contabilidad/Contabilidad_TablasContable.aspx,page,yes,WebGestor/Contabilidad/Contabilidad_TablasContable.aspx.vb,577,56240,13db9fcf96bb2afac9b0c41e1c0f45c07f510c98
WebGestor/Contabilidad/Contabilidad_TablasContables2.aspx,page,yes,WebGestor/Contabilidad/Contabilidad_TablasContables2.aspx.vb,696,64806,d128930fc09f71744cc582927724b957d6e53ca9
WebGestor/Contabilidad/Contabilidad_Voucher.aspx,page,yes,WebGestor/Contabilidad/Contabilidad_Voucher.aspx.vb,245,15374,f24739a0c927be53e3691bfa1848d10ff5a1b99f
WebGestor/Contabilidad/Contabilidad_Voucher_Detalle.aspx,page,yes,WebGestor/Contabilidad/Contabilidad_Voucher_Detalle.aspx.vb,889,54651,929b410a3120e3e9278a2004a70cd991a977f7fa
WebGestor/Contact.aspx,page,yes,WebGestor/Contact.aspx.vb,18,701,803ead138a8f6511e4f3e239c3aeca6e64d4afb4
WebGestor/ControlPersonal/Permisos.aspx,page,yes,WebGestor/ControlPersonal/Permisos.aspx.vb,134,8807,adce22ac82ec0017b3abe1a3903286e8db9e8102
WebGestor/ControlPersonal/Person_Control_Asistencia.aspx,page,yes,WebGestor/ControlPersonal/Person_Control_Asistencia.aspx.vb,300,16589,dc5a1e5f854ffc9507b367d90f4e8fdc005c6050
WebGestor/ControlPersonal/Person_Control_Define_Horarios.aspx,page,yes,WebGestor/ControlPersonal/Person_Control_Define_Horarios.aspx.vb,199,12891,624a0876ff51e9f815e25c73fbea9d2e6b408103
WebGestor/ControlPersonal/Person_Control_EntSal.aspx,page,yes,WebGestor/ControlPersonal/Person_Control_EntSal.aspx.vb,356,20607,b9249104fdf112fa6c72b9f391245ec1b0c0009f
WebGestor/ControlPersonal/Person_Control_EntSal_Geo.aspx,page,yes,WebGestor/ControlPersonal/Person_Control_EntSal_Geo.aspx.vb,447,16549,bb78954b58ff4791d0974e13b7bfad0f7931f8ef
WebGestor/ControlPersonal/Person_Control_EntSal_Ingreso_Directo.aspx,page,yes,WebGestor/ControlPersonal/Person_Control_EntSal_Ingreso_Directo.aspx.vb,223,13176,8a893ac555ab7c763da6747061d6c569d82ef56e
WebGestor/ControlPersonal/Person_Control_Integran_Asistencia.aspx,page,yes,WebGestor/ControlPersonal/Person_Control_Integran_Asistencia.aspx.vb,145,8324,43c164a8ab4948848061c61a5097e1567faca60f
WebGestor/ControlPersonal/Person_Fotos.ashx,handler,no,,48,1593,654af84f18712a3b19637460f0305044602482c9
WebGestor/ControlPersonal/Person_Record_Asistencia.aspx,page,yes,WebGestor/ControlPersonal/Person_Record_Asistencia.aspx.vb,191,13008,55f0e62413c375ecbfb373fab01aeef07deaf3e8
WebGestor/ControlVisitas/ControlVisitas_Puntos.aspx,page,yes,WebGestor/ControlVisitas/ControlVisitas_Puntos.aspx.vb,224,32390,54fc33fe30a12c9615d61282ebd6b044133453e8
WebGestor/ControlVisitas/ControlVisitas_Registro.aspx,page,yes,WebGestor/ControlVisitas/ControlVisitas_Registro.aspx.vb,654,51900,578d73720b7198f5e2b540c5d52bda23a81a64a2
WebGestor/CRM/CRM_BeseDatos_Mantenimiento.aspx,page,yes,WebGestor/CRM/CRM_BeseDatos_Mantenimiento.aspx.vb,450,34864,34cc22b04f894279ec68f34b0b8280d030e881fd
WebGestor/CRM/CRM_BusquedaBaseDatos.aspx,page,yes,WebGestor/CRM/CRM_BusquedaBaseDatos.aspx.vb,315,23566,e4964bd642d402e89258570050dc08ee1a1f2d02
WebGestor/CRM/CRM_Contenido_del_Correo.aspx,page,yes,WebGestor/CRM/CRM_Contenido_del_Correo.aspx.vb,299,19454,da133cf82e2ab9ba65421fcd2548521b995efbf0
WebGestor/CRM/CRM_DxLista_CuadroMando.aspx,page,yes,WebGestor/CRM/CRM_DxLista_CuadroMando.aspx.vb,20,1192,3a836e027aabba4f48c4fcc3224bad217016aa42
