path_rel,ext,size_bytes,mtime_utc
WebGestor/Fotos/foto cas.JPG,.jpg,2668,2025-11-10T02:49:55Z
WebGestor/Fotos/grabar.png,.png,4318,2025-11-10T02:49:55Z
WebGestor/Fotos/icon2.gif,.gif,310,2025-11-10T02:49:55Z
WebGestor/Fotos/linea.JPG,.jpg,805,2025-11-10T02:49:55Z
WebGestor/Fotos/lineaCas.JPG,.jpg,805,2025-11-10T02:49:55Z
WebGestor/Fotos/loading.gif,.gif,673,2025-11-10T02:49:55Z
WebGestor/Fotos/logbbvaJPG.JPG,.jpg,2204,2025-11-10T02:49:55Z
WebGestor/Fotos/logo login.jpg,.jpg,26182,2025-11-10T02:49:55Z
WebGestor/Fotos/logo_white.png,.png,32576,2025-11-10T02:49:55Z
WebGestor/Fotos/menu8.gif,.gif,826,2025-11-10T02:49:55Z
WebGestor/Fotos/nodatafound.png,.png,489,2025-11-10T02:49:55Z
WebGestor/Fotos/persona.jpg,.jpg,18207,2025-11-10T02:49:55Z
WebGestor/Fotos/proceso.JPG,.jpg,6527,2025-11-10T02:49:55Z
WebGestor/Icono/Calendar-Time-256.png,.png,12965,2025-11-10T02:49:55Z
WebGestor/Icono/CambioDeAccion_opt.png,.png,1020,2025-11-10T02:49:55Z
WebGestor/Icono/CambioDeEstado_opt.png,.png,2538,2025-11-10T02:49:55Z
WebGestor/Icono/EDITAR_TIEMPO_opt.png,.png,1902,2025-11-10T02:49:55Z
WebGestor/Icono/Editar_opt.png,.png,1566,2025-11-10T02:49:55Z
WebGestor/Icono/Icon_Menu.png,.png,258,2025-11-10T02:49:55Z
WebGestor/Icono/LOGO WEB HACDATA.jpg,.jpg,17544,2025-11-10T02:49:55Z
WebGestor/Icono/LOGO-HACDATA-M.jpg,.jpg,4617,2025-11-10T02:49:55Z
WebGestor/Icono/Tracking_opt.png,.png,1912,2025-11-10T02:49:55Z
WebGestor/Icono/WORKR01E.ICO,.ico,766,2025-11-10T02:49:55Z
WebGestor/Icono/delete.gif,.gif,463,2025-11-10T02:49:55Z
WebGestor/Icono/delete2_opt.png,.png,2251,2025-11-10T02:49:55Z
WebGestor/Icono/details_opt.png,.png,1953,2025-11-10T02:49:55Z
WebGestor/Icono/download.gif,.gif,37115,2025-11-10T02:49:55Z
WebGestor/Icono/download.png,.png,349,2025-11-10T02:49:55Z
WebGestor/Icono/edit.gif,.gif,1107,2025-11-10T02:49:55Z
WebGestor/Icono/loadin-barra.gif,.gif,20089,2025-11-10T02:49:55Z
WebGestor/Icono/loading-point.gif,.gif,57397,2025-11-10T02:49:55Z
WebGestor/Icono/minus.gif,.gif,80,2025-11-10T02:49:55Z
WebGestor/Icono/ok.png,.png,1868,2025-11-10T02:49:55Z
WebGestor/Icono/ok20.png,.png,1470,2025-11-10T02:49:55Z
WebGestor/Icono/plus.gif,.gif,151,2025-11-10T02:49:55Z
WebGestor/Icono/upload.png,.png,1870,2025-11-10T02:49:55Z
WebGestor/Icono/visualizar.png,.png,1755,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-17.jpeg,.jpeg,130912,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-53.jpeg,.jpeg,46398,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-54.jpeg,.jpeg,16785,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-72.jpeg,.jpeg,33702,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000011-73.jpeg,.jpeg,47595,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000108-43.jpeg,.jpeg,21416,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000112-30.jpeg,.jpeg,18933,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000177-04.jpeg,.jpeg,11416,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000185-03.jpeg,.jpeg,43425,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000200-57.jpeg,.jpeg,30367,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110000202-22.jpeg,.jpeg,12383,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110001620-35.jpeg,.jpeg,54382,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110001620-45.jpeg,.jpeg,148104,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/110012435-02.jpeg,.jpeg,43277,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000114-01.jpeg,.jpeg,14819,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000118-01.jpeg,.jpeg,25993,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000196-09.jpeg,.jpeg,23199,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000357-10.JPG,.jpg,36996,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000357-14.JPG,.jpg,31711,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/120000530-13.jpeg,.jpeg,11442,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/5612986.jpeg,.jpeg,82231,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ADAPATADOR-56.jpeg,.jpeg,59007,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CABLE-04.jpeg,.jpeg,15312,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CABLE-23.jpeg,.jpeg,51998,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CAFETERA-03.jpeg,.jpeg,19781,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CARGADOR-21.jpeg,.jpeg,40939,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/CONTROL-04.jpeg,.jpeg,50687,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DETECTOR-04.jpeg,.jpeg,12811,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DOCKING-05.jpeg,.jpeg,12939,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/DOCKING-07.jpeg,.jpeg,56879,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ECRAN-03.jpeg,.jpeg,46210,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/EQUIPO-01.jpeg,.jpeg,12107,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/ESTUCHE-01.jpeg,.jpeg,10675,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/FUNDA-01.jpeg,.jpeg,55625,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/IMPLEMENTOS-02.jpeg,.jpeg,53872,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LAMPARA-04.jpeg,.jpeg,45955,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LENTE-03.jpeg,.jpeg,50602,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LENTE-04.jpeg,.jpeg,79356,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/LLAVE-07.jpeg,.jpeg,101679,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/MALETA-02.jpeg,.jpeg,37919,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/MATRIZ-01.jpeg,.jpeg,35617,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/MICA-04.jpeg,.jpeg,106632,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/MOCHILA-08.jpeg,.jpeg,362144,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/MODULO-45.jpeg,.jpeg,83796,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/MOUSE-20.jpeg,.jpeg,72572,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/NTENA-04.jpeg,.jpeg,13088,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/PARLANTE-06.jpeg,.jpeg,65840,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/PORTA-04.jpeg,.jpeg,21838,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/PREMIO-14.jpeg,.jpeg,23965,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/PREMIO-23.jpeg,.jpeg,81376,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/RACK-01.JPG,.jpg,14191,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/RACK-46.jpeg,.jpeg,20794,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/RW-03.JPG,.jpg,26404,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/TABLERO-20.jpeg,.jpeg,12364,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/TOPE-01.jpeg,.jpeg,65852,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/CATALOGO IMAGENES FALTANTES/WhatsApp Image 2024-09-30 at 15.22.48.jpeg,.jpeg,26368,2025-11-10T02:49:55Z
WebGestor/Inventario/ArchivoTemp/comprimida.jpg,.jpg,9692,2025-11-10T02:49:56Z
WebGestor/Inventario/ArchivoTemp/original.jpg,.jpg,9001,2025-11-10T02:49:56Z
WebGestor/Inventario/Imagenes/FranlaLeft.jpg,.jpg,5357,2025-11-10T02:49:56Z
WebGestor/Inventario/Imagenes/LOGO WEB HACDATA.jpg,.jpg,17544,2025-11-10T02:49:56Z
WebGestor/Inventario/Imagenes/imgInforme.jpg,.jpg,144191,2025-11-10T02:49:56Z
WebGestor/Js/Java.js,.js,125,2025-11-10T02:49:56Z
WebGestor/Js/Popup.js,.js,340,2025-11-10T02:49:56Z
WebGestor/Js/PopupArticulos.js,.js,245,2025-11-10T02:49:56Z
WebGestor/Js/bootstrap.js,.js,47875,2025-11-10T02:49:56Z
